Name,Code,Location
O'Hare International Airport,ORD,"Chicago, IL"
Hartsfield Jackson Atlanta International Airport,ATL,"Atlanta, GA"
Denver International Airport,DEN,"Denver, CO"
Dallas Fort Worth International Airport,DFW,"Dallas, TX"
Los Angeles International Airport,LAX,"Los Angeles, CA"
Charlotte Douglas International Airport,CLT,"Charlotte, NC"
McCarran International Airport,LAS,"Las Vegas, NV"
Phoenix Sky Harbor International Airport,PHX,"Phoenix, AZ"
Orlando International Airport,MCO,"Orlando, FL"
Seattle-Tacoma International Airport,SEA,"Seattle, WA"
Miami International Airport,MIA,"Miami, FL"
George Bush Intercontinental Airport,IAH,"Houston, TX"
John F. Kennedy International Airport,JFK,"New York City, NY"
Fort Lauderdale-Hollywood International Airport,FLL,"Fort Lauderdale, FL"
San Francisco International Airport,SFO,"San Francisco, CA"
Newark Liberty International Airport,EWR,"Newark, NJ"
Minneapolis-Saint Paul International Airport,MSP,"Minneapolis, MN"
Tampa International Airport,TPA,"Tampa, FL"
Detroit Metropolitan Airport,DTW,"Detroit, MI"
Philadelphia International Airport,PHL,"Philadelphia, PA"
St. Louis Lambert International Airport,STL,"St. Louis, MO"
Baltimore/Washington International Thurgood Marshall Airport,BWI,"Baltimore, MD"
Daniel K. Inouye International Airport,HNL,"Honolulu, HI"
San Diego International Airport,SAN,"San Diego, CA"
Salt Lake City International Airport,SLC,"Salt Lake City, UT"